iter	Passed	Remaining
0	140	139941
1	142	71209
2	145	48296
3	147	36826
4	150	29953
5	153	25366
6	155	22098
7	158	19635
8	160	17714
9	163	16173
10	165	14921
11	168	13894
12	171	12983
13	173	12225
14	176	11567
15	178	10980
16	181	10475
17	183	10024
18	186	9620
19	188	9254
20	191	8923
21	193	8623
22	196	8353
23	199	8108
24	201	7874
25	204	7659
26	206	7459
27	209	7274
28	212	7106
29	214	6928
30	216	6778
31	219	6636
32	221	6503
33	224	6379
34	227	6262
35	229	6156
36	232	6052
37	235	5952
38	236	5837
39	239	5748
40	242	5664
41	244	5585
42	247	5510
43	250	5436
44	252	5366
45	255	5298
46	257	5230
47	260	5169
48	263	5112
49	266	5055
50	268	5000
51	271	4947
52	274	4898
53	276	4850
54	279	4801
55	282	4756
56	284	4711
57	287	4668
58	290	4628
59	293	4592
60	295	4554
61	298	4516
62	301	4478
63	303	4432
64	305	4400
65	308	4367
66	311	4334
67	313	4302
68	316	4271
69	319	4242
70	322	4215
71	324	4181
72	327	4154
73	329	4127
74	332	4100
75	335	4077
76	339	4065
77	342	4048
78	345	4024
79	347	4000
80	350	3976
81	353	3953
82	355	3930
83	358	3907
84	360	3885
85	363	3864
86	366	3843
87	369	3824
88	371	3804
89	374	3784
90	376	3764
91	378	3738
92	381	3721
93	384	3703
94	386	3685
95	389	3667
96	392	3650
97	394	3633
98	397	3617
99	400	3600
100	402	3584
101	405	3568
102	407	3546
103	409	3531
104	412	3517
105	415	3503
106	418	3489
107	420	3475
108	423	3462
109	425	3441
110	428	3428
111	430	3414
112	433	3400
113	435	3387
114	438	3375
115	441	3362
116	443	3350
117	446	3337
118	449	3324
119	451	3312
120	454	3300
121	456	3288
122	459	3277
123	462	3266
124	464	3254
125	467	3244
126	470	3233
127	472	3221
128	474	3205
129	477	3195
130	480	3184
131	482	3174
132	485	3163
133	488	3153
134	491	3149
135	496	3152
136	501	3158
137	504	3154
138	509	3152
139	511	3142
140	514	3132
141	516	3123
142	519	3115
143	522	3105
144	525	3095
145	527	3086
146	530	3077
147	532	3068
148	535	3059
149	538	3049
150	540	3040
151	543	3032
152	546	3023
153	548	3014
154	551	3007
155	555	3007
156	558	2999
157	561	2991
158	564	2983
159	566	2976
160	569	2968
161	572	2960
162	574	2951
163	577	2944
164	580	2936
165	582	2927
166	585	2919
167	587	2911
168	590	2903
169	593	2896
170	595	2888
171	598	2881
172	601	2873
173	603	2866
174	606	2859
175	609	2851
176	611	2845
177	614	2838
178	617	2830
179	619	2823
180	622	2816
181	625	2809
182	627	2802
183	630	2795
184	633	2788
185	635	2782
186	638	2775
187	641	2768
188	643	2762
189	646	2755
190	649	2749
191	651	2742
192	654	2736
193	657	2730
194	659	2724
195	662	2718
196	665	2711
197	668	2705
198	670	2699
199	673	2693
200	676	2687
201	678	2681
202	681	2674
203	684	2669
204	686	2662
205	689	2658
206	692	2652
207	694	2646
208	697	2640
209	700	2634
210	702	2628
211	705	2622
212	708	2616
213	710	2610
214	713	2605
215	716	2599
216	718	2593
217	721	2587
218	723	2581
219	726	2576
220	729	2570
221	731	2564
222	734	2559
223	737	2554
224	740	2549
225	742	2543
226	745	2538
227	748	2532
228	750	2527
229	753	2522
230	756	2516
231	758	2511
232	761	2506
233	764	2501
234	766	2496
235	769	2491
236	772	2486
237	774	2481
238	777	2474
239	779	2469
240	782	2464
241	785	2459
242	788	2454
243	790	2449
244	793	2444
245	795	2437
246	797	2432
247	800	2427
248	803	2422
249	806	2418
250	808	2413
251	811	2408
252	814	2404
253	816	2399
254	819	2394
255	822	2389
256	824	2384
257	828	2381
258	832	2380
259	836	2380
260	838	2375
261	841	2370
262	844	2366
263	847	2361
264	849	2357
265	852	2352
266	855	2347
267	858	2343
268	860	2339
269	863	2334
270	866	2329
271	868	2325
272	871	2320
273	874	2316
274	876	2311
275	879	2307
276	881	2300
277	884	2295
278	886	2291
279	889	2287
280	892	2283
281	894	2278
282	897	2273
283	900	2269
284	902	2265
285	905	2260
286	908	2256
287	910	2251
288	913	2247
289	916	2243
290	918	2238
291	921	2234
292	924	2230
293	926	2225
294	929	2221
295	932	2217
296	934	2213
297	937	2208
298	940	2204
299	942	2199
300	945	2195
301	948	2191
302	950	2187
303	953	2183
304	956	2179
305	958	2174
306	961	2170
307	964	2166
308	967	2163
309	970	2159
310	972	2153
311	974	2149
312	977	2145
313	980	2141
314	982	2137
315	985	2132
316	987	2128
317	990	2124
318	993	2120
319	995	2116
320	998	2112
321	1001	2108
322	1003	2104
323	1006	2100
324	1009	2096
325	1012	2092
326	1014	2088
327	1017	2084
328	1020	2080
329	1022	2076
330	1025	2072
331	1028	2068
332	1030	2065
333	1033	2061
334	1036	2056
335	1038	2053
336	1041	2049
337	1044	2045
338	1047	2041
339	1049	2037
340	1052	2033
341	1055	2030
342	1058	2027
343	1061	2023
344	1063	2019
345	1066	2015
346	1068	2011
347	1071	2007
348	1074	2004
349	1077	2000
350	1079	1996
351	1082	1992
352	1085	1989
353	1087	1985
354	1090	1981
355	1093	1977
356	1096	1974
357	1098	1970
358	1101	1966
359	1104	1963
360	1106	1959
361	1109	1955
362	1112	1951
363	1114	1947
364	1117	1944
365	1120	1941
366	1123	1937
367	1126	1934
368	1128	1930
369	1131	1926
370	1134	1923
371	1137	1919
372	1139	1915
373	1142	1912
374	1145	1908
375	1147	1904
376	1150	1901
377	1153	1897
378	1155	1893
379	1158	1889
380	1161	1886
381	1163	1882
382	1166	1879
383	1169	1875
384	1172	1872
385	1174	1868
386	1177	1865
387	1180	1861
388	1182	1857
389	1185	1854
390	1188	1850
391	1190	1847
392	1193	1843
393	1196	1840
394	1199	1836
395	1201	1832
396	1204	1829
397	1206	1825
398	1209	1821
399	1212	1818
400	1215	1815
401	1217	1811
402	1220	1808
403	1223	1804
404	1225	1800
405	1228	1797
406	1231	1793
407	1233	1790
408	1236	1786
409	1239	1783
410	1241	1779
411	1244	1776
412	1247	1772
413	1249	1769
414	1252	1765
415	1255	1761
416	1257	1758
417	1260	1755
418	1263	1751
419	1265	1748
420	1268	1744
421	1271	1741
422	1274	1737
423	1276	1734
424	1279	1731
425	1282	1727
426	1284	1724
427	1287	1720
428	1290	1717
429	1292	1713
430	1295	1710
431	1297	1706
432	1300	1703
433	1303	1699
434	1305	1696
435	1308	1692
436	1311	1689
437	1313	1685
438	1316	1682
439	1319	1679
440	1322	1675
441	1324	1672
442	1327	1669
443	1330	1665
444	1332	1662
445	1336	1659
446	1339	1657
447	1342	1653
448	1345	1650
449	1347	1647
450	1350	1643
451	1353	1640
452	1355	1637
453	1358	1633
454	1361	1630
455	1363	1626
456	1366	1623
457	1369	1620
458	1372	1617
459	1374	1613
460	1377	1610
461	1380	1607
462	1383	1604
463	1385	1600
464	1388	1597
465	1391	1594
466	1393	1590
467	1396	1587
468	1399	1584
469	1401	1580
470	1404	1577
471	1407	1574
472	1409	1570
473	1412	1567
474	1415	1564
475	1418	1561
476	1420	1557
477	1423	1554
478	1426	1551
479	1428	1548
480	1431	1544
481	1434	1541
482	1437	1538
483	1439	1535
484	1442	1531
485	1445	1528
486	1447	1525
487	1450	1521
488	1453	1518
489	1455	1515
490	1459	1512
491	1461	1509
492	1464	1506
493	1467	1502
494	1469	1499
495	1472	1496
496	1475	1493
497	1477	1489
498	1480	1486
499	1483	1483
500	1485	1479
501	1488	1476
502	1491	1473
503	1493	1470
504	1496	1466
505	1499	1463
506	1501	1460
507	1504	1457
508	1507	1454
509	1510	1451
510	1513	1447
511	1515	1444
512	1518	1441
513	1521	1438
514	1524	1435
515	1526	1432
516	1529	1429
517	1532	1425
518	1534	1422
519	1537	1419
520	1540	1416
521	1543	1413
522	1545	1409
523	1548	1406
524	1551	1403
525	1554	1400
526	1557	1397
527	1559	1394
528	1562	1391
529	1566	1388
530	1568	1385
531	1571	1382
532	1573	1379
533	1576	1375
534	1579	1372
535	1582	1369
536	1584	1366
537	1587	1363
538	1590	1359
539	1592	1356
540	1595	1353
541	1598	1350
542	1600	1347
543	1603	1344
544	1606	1340
545	1608	1337
546	1611	1334
547	1614	1331
548	1616	1328
549	1619	1325
550	1622	1321
551	1625	1318
552	1627	1315
553	1630	1312
554	1633	1309
555	1635	1306
556	1638	1303
557	1641	1299
558	1643	1296
559	1646	1293
560	1649	1290
561	1652	1287
562	1654	1284
563	1657	1281
564	1660	1278
565	1663	1275
566	1665	1272
567	1668	1268
568	1671	1265
569	1673	1262
570	1676	1259
571	1678	1256
572	1681	1253
573	1684	1249
574	1687	1246
575	1690	1244
576	1694	1242
577	1698	1239
578	1702	1238
579	1706	1235
580	1709	1233
581	1714	1231
582	1717	1228
583	1721	1226
584	1724	1223
585	1726	1219
586	1729	1216
587	1731	1213
588	1734	1210
589	1737	1207
590	1739	1204
591	1742	1200
592	1745	1197
593	1747	1194
594	1751	1192
595	1753	1188
596	1756	1185
597	1759	1182
598	1761	1179
599	1765	1176
600	1767	1173
601	1770	1170
602	1773	1167
603	1776	1164
604	1778	1161
605	1781	1158
606	1784	1155
607	1786	1152
608	1789	1148
609	1792	1145
610	1795	1142
611	1797	1139
612	1800	1136
613	1803	1133
614	1806	1130
615	1808	1127
616	1811	1124
617	1815	1122
618	1818	1119
619	1821	1116
620	1824	1113
621	1826	1110
622	1829	1107
623	1831	1103
624	1834	1100
625	1837	1097
626	1839	1094
627	1842	1091
628	1845	1088
629	1847	1085
630	1850	1082
631	1853	1078
632	1855	1076
633	1859	1073
634	1863	1070
635	1866	1068
636	1869	1065
637	1873	1062
638	1876	1060
639	1879	1057
640	1882	1054
641	1885	1051
642	1887	1048
643	1890	1045
644	1893	1041
645	1895	1038
646	1898	1035
647	1900	1032
648	1903	1029
649	1906	1026
650	1908	1023
651	1911	1020
652	1914	1017
653	1917	1014
654	1919	1011
655	1922	1008
656	1925	1005
657	1927	1001
658	1930	998
659	1933	995
660	1936	993
661	1939	990
662	1941	987
663	1944	984
664	1947	980
665	1949	977
666	1952	974
667	1955	971
668	1957	968
669	1960	965
670	1963	962
671	1966	959
672	1968	956
673	1971	953
674	1974	950
675	1976	947
676	1979	944
677	1981	941
678	1984	938
679	1987	935
680	1989	932
681	1992	929
682	1995	926
683	1997	922
684	2000	919
685	2003	916
686	2005	913
687	2008	910
688	2011	907
689	2014	904
690	2016	901
691	2019	898
692	2022	895
693	2025	892
694	2027	889
695	2030	886
696	2033	883
697	2035	880
698	2038	877
699	2041	874
700	2043	871
701	2046	868
702	2049	865
703	2051	862
704	2054	859
705	2057	856
706	2059	853
707	2062	850
708	2065	847
709	2067	844
710	2070	841
711	2073	838
712	2075	835
713	2078	832
714	2080	829
715	2083	826
716	2086	823
717	2089	820
718	2091	817
719	2094	814
720	2097	811
721	2099	808
722	2102	805
723	2105	802
724	2107	799
725	2110	796
726	2113	793
727	2115	790
728	2118	787
